Comuna,Pacto,Partido,Tendencia,Independientes,Candidato,n_votos,perc_votos_comuna
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,31,0.001974522
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,37,0.002356688
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,0,0
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,7,0.00044586
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,0,0
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,4,0.000254777
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,76,0.004840764
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,5,0.000318471
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,14,0.00089172
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,45,0.002866242
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,31,0.001974522
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,1,6.36943E-05
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,4,0.000254777
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,2,0.000127389
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,4,0.000254777
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,51,0.003248408
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,6,0.000382166
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,7,0.00044586
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,27,0.001719745
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,49,0.003121019
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,2,0.000127389
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,4,0.000254777
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,4,0.000254777
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,3,0.000191083
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,72,0.004585987
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,4,0.000254777
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,7,0.00044586
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,34,0.002165605
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,34,0.002165605
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,2,0.000127389
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,6,0.000382166
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,5,0.000318471
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,0,0
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,39,0.002484076
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,8,0.000509554
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,9,0.000573248
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,PARTIDO DEMOCRATA CRISTIANO,Concertacion2,,MARIA DEL CARMEN PEREZ DONOSO,26,0.001656051
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,GUILLERMO  GARCIA GONZALEZ,55,0.003503185
CAUQUENES,CHILE VAMOS UDI - PRI - INDEPENDIENTES,UNION DEMOCRATA INDEPENDIENTE,Derecha2,,ALVARO  GREZ MARTINEZ,2,0.000127389
CAUQUENES,POR TODO CHILE,PARTIDO PROGRESISTA,Concertacion1,,COCA APABLAZA APABLAZA,7,0.00044586
CAUQUENES,POR TODO CHILE,INDEPENDIENTES,Concertacion1,1,ABDON MATIAS FUENTEALBA RETAMAL,1,6.36943E-05
CAUQUENES,CHILE VAMOS RN - EVOPOLI,INDEPENDIENTES,Derecha1,,DANIEL BUSTOS LEAL,1,6.36943E-05
CAUQUENES,CHILE VAMOS RN - EVOPOLI,RENOVACION NACIONAL,Derecha1,,JUAN ANDRES MUÑOZ SAAVEDRA,82,0.00522293
CAUQUENES,POR UN CHILE JUSTO Y DESCENTRALIZADO,PARTIDO COMUNISTA DE CHILE,Izquierda1,,GINEZ MUÑOZ ECHEVERRIA,7,0.00044586
CAUQUENES,UNIDOS POR LA DESCENTRALIZACION,INDEPENDIENTES,Concertacion2,1,JOSE ANIBAL PEREZ MEZA,6,0.000382166
